# ----------------------------------------
# דפים ומסכים: נתיב הדף וסיווג המסך
# חשבון: השם לא משנה
# נכס: www.nevermind.co.il
# ----------------------------------------
# 
# כל המשתמשים
# תאריך התחלה: 20251229
# תאריך סיום: 20260328
נתיב הדף וסיווג המסך,צפיות,משתמשים פעילים,צפיות לכל משתמש פעיל,משך ההתעניינות הממוצע לכל משתמש פעיל,ספירת אירועים,אירועים מרכזיים,"סה""כ הכנסות"
/,153,80,1.9125,23.2,442,0,0
/שיטת-nevermind-שכל-שמרגיש-רגש-שחושב/,34,26,1.3076923076923077,1.3846153846153846,88,0,0
/shop/,28,10,2.8,50.4,68,0,0
/מי-אני/,27,22,1.2272727272727273,17,71,0,0
/cart/,20,20,1,0,60,0,0
/mahu-ego/,12,10,1.2,111.2,41,0,0
/courses/רמה-בסיסית-טוב-ורע-נפרדים-באמת/,11,5,2.2,24.4,20,0,0
/courses/פודקאסט-מרפסת/,8,6,1.3333333333333333,16.833333333333332,21,0,0
/מה-זה-אהבה-טהורה-המשמעות-האמיתית-שמאחו/,8,6,1.3333333333333333,16.833333333333332,24,0,0
/מה-זה-נימוס-מה-זה-כבוד-האם-יש-הבדל-בין-כב/,8,8,1,7.875,27,0,0
/courses/רמה-מתקדמת-אל-מעבר-לשכל-כשהבלתי-אפשרי/,7,5,1.4,24.6,14,0,0
/my-account/,6,3,2,38.666666666666664,12,0,0
/האם-להתגרש-או-להישאר-🤔-זה-מתחיל-מהבנה/,6,5,1.2,47.8,20,0,0
/חדש-באתר/,6,3,2,9.333333333333334,11,0,0
/ייעוץ-אישי/,6,3,2,21.333333333333332,14,0,0
/יצירת-קשר/,6,2,3,29.5,12,0,0
/7-הרגלים-מוזרים-שמגלים-עליכם-את-כל-האמת/,5,4,1.25,26.5,15,0,0
/love-attraction-relationship-success/,5,5,1,50.6,19,0,0
/product/אהבה-ב-20-עמודים/,5,5,1,43.8,15,0,0
/product/לרכישת-הספר-אהבה-ב-20-עמודים/,5,4,1.25,9.25,16,0,0
/איך-אלוהים-נראה/,5,5,1,37.4,19,0,0
/registration/,4,4,1,8.75,10,0,0
/איך-לבחור-חברים/,4,3,1.3333333333333333,8.333333333333334,12,0,0
/האם-צריך-זוגיות-כדי-להיות-מאושרים/,4,3,1.3333333333333333,25.333333333333332,14,0,0
/מה-ההבדל-בין-רובוט-לבן-אדם-ומה-המשמעות/,4,4,1,23.75,17,0,0
/עמוד-התוכן-המרכזי-של-nevermind-צוהר-לחקירה-עצמ/,4,1,4,62,8,0,0
/📄-זכויות-יוצרים-והפניות/,4,2,2,36,8,0,0
/api/auth,3,2,1.5,17.5,9,0,0
/courses/חרדה-מבפנים-ללמוד-לפחד-נכון/,3,3,1,1.6666666666666667,6,0,0
